Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
14,"May 24, 2023","Jun 01, 2023","May 06, 2024",Current,111 St NB Lane Closure,111 Street NW,29A Avenue NW,34 Avenue NW,Travel Delays,Long Term Drainage Project,"Starts Thurs, June 1st at 9am. 111 St NB at 29A Av will  be reduced to a single lane. The WB 29A Av to NB 111 St Right turn bay will be closed with Right turns banned on red lights. The East crosswalk will be closed with a pedestrian detour in place.",Drainage Shaft,Construction,Southwest,Road and Sidewalk,POINT (-113.516328900539 53.465904582209)
73,"Jan 18, 2024","Jan 21, 2024","Apr 30, 2024",Revised,"EB 100 Ave Closed, 108 St - 105 St",100 Avenue NW,108 Street NW,105 Street NW,Directional Closure,3 Months (off-peak hours),"Intermittent staged closures of eastbound 100 Ave between 108 St and 105 St during off-peak hours. Access will be maintained in the westbound direction. Additional delays on 108 St, 107 St, and 106 St as work progresses but access will be maintained.",Power Install,Construction,Central,Road and Sidewalk,POINT (-113.501077253142 53.53883643778)
156,"Mar 07, 2024","Mar 11, 2024","Oct 25, 2024",Current,"Road, Sidewalk, and Bicycle Lane Closure",99 Street NW,102A Avenue NW,103A Avenue NW,Total Closure,7+ Months,"99 St, 102A Av - City Hall Parkade closed due to pedway construction. 102A Av WBD, East of 99 St also closed. Bike lane closed. Sidewalks closed. Bikes and peds are asked to use the Shared Pathway provided as detour.",Pedway Construction,Construction,Central,Road and Sidewalk,POINT (-113.489162454347 53.544555623745)
99,"Jan 30, 2024","Feb 01, 2024","Apr 21, 2024",Revised,Eastbound Curb Lane Closure,127 Avenue NW,101 Street NW,95A Street NW,Travel Delays,11 Weeks,Eastbound 127 Avenue through 97 St to 95A St reduced to one inside lane. Sidewalk may be opened or closed at 97 St/95A St as work progresses.,Utility Repair,Construction,Northeast,Sidewalk,POINT (-113.488895285038 53.584799864844)
73,"Jan 18, 2024","Jan 21, 2024","Apr 30, 2024",Revised,"EB 100 Ave Closed, 108 St - 105 St",100 Avenue NW,108 Street NW,105 Street NW,Directional Closure,3 Months (off-peak hours),"Intermittent staged closures of eastbound 100 Ave between 108 St and 105 St during off-peak hours. Access will be maintained in the westbound direction. Additional delays on 108 St, 107 St, and 106 St as work progresses but access will be maintained.",Power Install,Construction,Central,Road and Sidewalk,POINT (-113.506590250897 53.538845670511)
31,"Nov 08, 2023","Nov 14, 2023","Jul 01, 2024",Current,45ave Travel Delays,45 Avenue NW,106 Street NW,,Travel Delays,Long Term Drainage Project,45ave will be reduced to a single travel lane in front of L.Y Cairns School just east of 106st. Expect travel delays.,Drainage Shaft,Construction,Southwest,Road,POINT (-113.504323506667 53.483106413762)
99,"Jan 30, 2024","Feb 01, 2024","Apr 21, 2024",Revised,Eastbound Curb Lane Closure,127 Avenue NW,101 Street NW,95A Street NW,Travel Delays,11 Weeks,Eastbound 127 Avenue through 97 St to 95A St reduced to one inside lane. Sidewalk may be opened or closed at 97 St/95A St as work progresses.,Utility Repair,Construction,Northeast,Sidewalk,POINT (-113.49372333175 53.584801270587)
133,"Feb 14, 2024","Mar 11, 2024","May 10, 2024",Revised,NB 105 St Closed at 102 Ave + 102 Ave Closed E/O,105 Street NW,102 Avenue NW,,Directional Closure,2 Months +,"Mar 11@9am: NB 105 St closed from 60m S/O 102 Ave to 50m N/O 102 Ave including east sidewalk N/O 102 Ave, 102 Ave closed from 105 St to alley east of 105 St including north sidewalk, east & north crosswalks closed at 105 St/102 Ave, 102 Ave bike lane open",Gas Line Installation,Construction,Central,Road and Sidewalk,POINT (-113.501070013883 53.543011020781)
7,"Jan 12, 2023","Dec 29, 2022","Nov 20, 2024",Current,Stony Plain Road Closure,Stony Plain Road,129 Street NW,131 Street NW,Total Closure,23 Months,"Stony Plain Road will be closed from 7pm on Thursday, December 29 until November 30, 2024 for the removal and replacement of the bridge over Groat Road. Use other routes.",Bridge Structure Replacement,Construction,Northwest,Road and Sidewalk,POINT (-113.544539885848 53.547972146913)
12,"Apr 27, 2023","May 15, 2023","May 31, 2024",Current,Parking Lane and Sidewalk Closed on NS Summit Dr,Summit Drive,142 Street NW,98 Avenue NW,Travel Delays,1 Year,Summit Dr will be reduced to one lane in each direction. The sidewalk on the North side will be closed form 142 St to approx 30m East.,Drainage Tunnel Shaft,Construction,Northwest,Road and Sidewalk,POINT (-113.565591187721 53.53757862238)
177,"Mar 21, 2024","Mar 25, 2024","Apr 15, 2024",Revised,Closure of inside lanes on 109 St at 74 Ave,109 Street NW,76 Avenue NW,74 Avenue NW,Travel Delays,3 Weeks,The Northbound and Southbound inside-most lanes on 109 St at 74 Ave will be closed for drainage work. Turning and straight thru movements for 74 Ave will be affected.,Drainage Construction,Construction,Central,Road,POINT (-113.512037479415 53.512262333484)
28,"Oct 30, 2023","Nov 01, 2023","Nov 01, 2024",Current,116 Street Lane Reductions,116 Street NW,105 Avenue NW,103A Avenue NW,Travel Delays,1 Year,"Starts Wed, Nov 1st at 9am. 116 St will be reduced to a single lane each way from 103A Av to the Unity Square access north of 104 Av. Left turns will be maintained.",West LRT Construction,Construction,Central,Road,POINT (-113.521307575089 53.548258175683)
171,"Mar 19, 2024","Apr 01, 2024","Apr 30, 2024",Current,111 Ave Closure,111 Avenue NW,78 Street NW,81 Street NW,Total Closure,4 Weeks,111 Ave closed from 81 St to west of 78 St due to drainage work.,Drainage Repair,Construction,Central,Road,POINT (-113.461669405028 53.558260349953)
172,"Mar 19, 2024","Mar 25, 2024","Aug 30, 2024",Current,Hoarding,Jasper Avenue NW,100A Street NW,100 Street NW,Increased Travel Time,5 Months,"Overhead protection over the sidewalks along 1) S/S Jasper Ave, 100 St to west of 100 St 2) W/S 100 St, Jasper Ave to south of Jasper ave (ATB Place Building). A minimum 3m wide pedestrian access maintained. ATB Place Sign replacement.",Hoarding,Construction,Central,Sidewalk,POINT (-113.492006126511 53.541046440083)
173,"Mar 19, 2024","Mar 25, 2024","Apr 15, 2024",Current,Traffic Split to the East,106 Street NW,36A Avenue NW,35 Avenue NW,Travel Delays,3 Weeks,Starts March 25th @ 9am. 106st from 36a ave to 35ave will be split to the east due to a water valve repair. Expect travel delays.,WATER VALVE REPAIR REPLACE,Construction,Southwest,Road,POINT (-113.504145686092 53.468463508863)
173,"Mar 19, 2024","Mar 25, 2024","Apr 15, 2024",Current,Traffic Split to the East,106 Street NW,36A Avenue NW,35 Avenue NW,Travel Delays,3 Weeks,Starts March 25th @ 9am. 106st from 36a ave to 35ave will be split to the east due to a water valve repair. Expect travel delays.,WATER VALVE REPAIR REPLACE,Construction,Southwest,Road,POINT (-113.504154197872 53.471212126857)
16,"Jun 20, 2023","Jun 16, 2023","May 06, 2024",Current,106 St Reduced to 1 Lane Per Direction,106 Street NW,36A Avenue NW,38 Avenue NW,Travel Delays,Long Term Drainage Project,106 St from 36A ave - 38 ave will be reduced to a single lane per direction due to a drainage shaft installation. Expect travel delays.,Drainage Shaft,Construction,Southwest,Road,POINT (-113.504154197872 53.471212126857)
38,"Dec 14, 2023","Dec 02, 2022","May 02, 2024",Current,Terwillegar Drive Stage 1B Project,Terwillegar Drive,Haddow Drive,23 Avenue,Increased Travel Time,5 Months,Speed reduction to 50 km/hr; Uneven pavement at intersections.,Road Construction,Construction,Southwest,Road,POINT (-113.589101156328 53.457542719602)
27,"Oct 27, 2023","Oct 27, 2023","Oct 31, 2026",Current,Truck Ban NB 178 St Bridge over Whitemud Dr,178 Street NW,Whitemud Drive,,Directional Closure,3 Years,Trucks will be banned on NB 178 St Bridge over Whitemud Dr. Trucks will need to use the NB 170 St Bridge.,Bridge pier repair,Construction,Northwest,Road,POINT (-113.629948157242 53.512130998819)
2,"Jun 14, 2022","Jun 20, 2022","Jun 20, 2024",Current,Stony Plain Rd/149 St Reduced to 1 Lane Each W,Stony Plain Road,139 Street NW,157 Street NW,Travel Delays,2 Years,"Stony Plain Rd, from 139 St - 157 St, and 149 St, from 100 Av - 102 Av, will be reduced to 1 lane in each direction for LRT construction work. Use other routes. Various sidewalk closures will also be required for this and pedestrians will be detoured.",WLRT Construction,Construction,Northeast,Road,POINT (-113.561369862447 53.543604268445)
26,"Oct 24, 2023","Oct 30, 2023","Feb 29, 2024",Current,Intersection Closure,102 Avenue NW,103 Street NW,,Total Closure,4-5 Months,"Starts Oct 30 at 9am, 102 Ave - 103 St intersection closed due to Valley line LRT west utility relocation. A single lane sbd maintained through the intersection. East crosswalk closed. Detour using other route.",VLRT West Utility Relocation,Construction,Central,Road and Sidewalk,POINT (-113.497407896705 53.543013110819)
1,"Feb 15, 2023","Mar 07, 2023","May 31, 2024",Current,34 Av Lane Reduction,34 Avenue NW,111 Street NW,106 Street NW,Travel Delays,Long Term Project,"Starts Mon, March 7th at 9am. 34 Av, 111 St - 106 St will be reduced to a single lane each direction. The intersections of 111 ST and 106 St will be at full lane capacity.",Drainage Tunnel Shaft,Construction,Southwest,Road,POINT (-113.504139616499 53.467730013729)
19,"Jul 14, 2023","Jul 25, 2023","Jul 31, 2024",Current,106st Reduced to 1 Lane Per Direction,106 Street NW,40 Avenue NW,42 Avenue NW,Travel Delays,Long Term Drainage Project,Starts July 25th. 106st from 40ave to 42ave will be reduced to a single lane per direction due to a drainage shaft installation. Expect travel delays.,Drainage Shaft,Construction,Southwest,Road,POINT (-113.50423915088 53.478807162534)
20,"Aug 17, 2023","Sep 01, 2023","Jul 01, 2024",Current,Intersection Left Turn Bans,156 Street NW,Stony Plain Road NW,,Increased Travel Time,10 Months,"Left turns will be banned in all directions at 156 St - Stony Plain Road starting on Fri, Sept 1st.",WLRT Construction,Construction,Northwest,Road,POINT (-113.590326243448 53.5412931906)
194,"Apr 03, 2024","Apr 09, 2024","Apr 09, 2024",Current,TEST HOLE DRILLING,25 Street NW,76 Avenue NW,80 Avenue NW,Total Closure,1 day,Total closure on 25 Street NW btw 76 Avenue NW and 80 Avenue NW during the first half of the day.,TEST HOLE DRILLING,Construction,Southeast,Road,POINT (-113.381245529225 53.51620670831)
42,"Mar 09, 2023","Jan 01, 2024","Dec 31, 2024",Current,97 ST Total Closure,97 Street NW,79 Avenue NW,80 Avenue NW,Total Closure,One Year,"97 ST, 79-80 AV northbound and southbound closed for drainage shaft installation. Pedestrian detour as per posted signage. Local access will be maintained. Detour using other routes.",Drainage Shaft Installation,Construction,Central,Road,POINT (-113.479762568596 53.5151456966)
194,"Apr 03, 2024","Apr 09, 2024","Apr 09, 2024",Current,TEST HOLE DRILLING,25 Street NW,76 Avenue NW,80 Avenue NW,Total Closure,1 day,Total closure on 25 Street NW btw 76 Avenue NW and 80 Avenue NW during the first half of the day.,TEST HOLE DRILLING,Construction,Southeast,Road,POINT (-113.381336640332 53.512269316332)
3,"Jun 03, 2022","Apr 19, 2022","Apr 19, 2024",Current,87 Av Reduced to 1 Lane Each Way,87 Avenue NW,159 Street NW,182 Street NW,Travel Delays,2 Years,87 Av will be reduced to 1 lane in each direction in various phases from 159 St to 189 St. Use other routes.,LRT Construction,Construction,Northwest,Road,POINT (-113.596664667411 53.519484889451)
112,"Feb 06, 2024","Feb 20, 2024","May 13, 2024",Current,88 AV Total Closure,88 Avenue NW,95 Street NW,96 Street NW,Total Closure,Three months,"88 AV, 95-96 ST closed for water installation. Detour using other routes.",Water Install,Construction,Central,Road,POINT (-113.473089805316 53.523496186815)
30,"Oct 31, 2023","Oct 30, 2023","Aug 28, 2024",Current,106 st reduced to one lane per direction,106 Street NW,Whitemud Drive NW,47 Avenue NW,Travel Delays,Long Term Drainage Project,106st from Whitemud Dr to 47ave will be reduced to a single lane in both directions. Southbound left turning movement will be ban at 106st & 45ave intersection. Bike and vehicle traffic to share travel lanes. Speed reduced accordingly. Expect delays.,Drainage Shaft,Construction,Southwest,Road,POINT (-113.504307618552 53.48134804511)
14,"May 24, 2023","Jun 01, 2023","May 06, 2024",Current,111 St NB Lane Closure,111 Street NW,29A Avenue NW,34 Avenue NW,Travel Delays,Long Term Drainage Project,"Starts Thurs, June 1st at 9am. 111 St NB at 29A Av will  be reduced to a single lane. The WB 29A Av to NB 111 St Right turn bay will be closed with Right turns banned on red lights. The East crosswalk will be closed with a pedestrian detour in place.",Drainage Shaft,Construction,Southwest,Road and Sidewalk,POINT (-113.516120783317 53.461179985982)
19,"Jul 14, 2023","Jul 25, 2023","Jul 31, 2024",Current,106st Reduced to 1 Lane Per Direction,106 Street NW,40 Avenue NW,42 Avenue NW,Travel Delays,Long Term Drainage Project,Starts July 25th. 106st from 40ave to 42ave will be reduced to a single lane per direction due to a drainage shaft installation. Expect travel delays.,Drainage Shaft,Construction,Southwest,Road,POINT (-113.506164320017 53.475003715591)
220,"Apr 08, 2024","Apr 15, 2024","Oct 31, 2024",Current,Southbound 109 St Reduced to Two Lanes,109 Street NW,100 Avenue NW,99 Avenue NW,Travel Delays,6.5 Months,The southbound right lane of 109 St will be closed from south of 100 Ave to north of 99 Ave. A speed reduction to 40 km/hr will be in place for the duration of the lane closure.,Patio Boardwalk Space,Special Event,Central,Road,POINT (-113.50841185893 53.538837322679)
35,"Dec 11, 2023","Dec 09, 2023","May 03, 2024",Current,Pavement marking weave,23 Avenue,109 Street,111 Street,Increased Travel Time,5 months,Ongoing utility work.  Pavement marking weave westbound.  Right turn bay closure at 111 Street for westbound to northbound traffic.  Pedestrian detour at 109 Street north west corner.,LRT Expansion Utility Work,Construction,Southwest,Road and Sidewalk,POINT (-113.509004521212 53.453915380672)
221,"Apr 08, 2024","May 26, 2024","May 26, 2024",Current,Alex Stieda Cycling Classic,78 Avenue NW,141 Street NW,Laurier Place NW,Total Closure,Sun (8 am - 430 pm),"Road Closures for the Alex Stieda Cycling Classic. 79 Av, 141 St - 139 St; Laurier Pl, 139 St - Laurier Dr; 77 Av, 139 St - 141 St.",Special Event,Special Event,Northwest,Road,POINT (-113.564084747977 53.513648134186)
197,"Apr 03, 2024","Apr 19, 2024","Apr 21, 2024",Current,"114 St, 83 Ave to 87 Ave split to Westside of road",114 Street NW,83 Avenue NW,87 Avenue NW,Travel Delays,3 Days,114 St will be split to the Westside of the road from 83 Ave until 87 Ave for construction on the Stollery.,Hospital Construction,Construction,Central,Road and Sidewalk,POINT (-113.525554897315 53.522906504322)
44,"Dec 28, 2023","Dec 22, 2023","Apr 30, 2024",Current,Yellowhead Trail Speed Reduction,Yellowhead Trail NW,St Albert Trail NW,156 Street NW,Increased Travel Time,4.5 Months,"YHT, 156 St - St Albert tr will have a speed reduction in place of 60km/hr starting on Dec 22, 2023.",YHT Conversion Project,Construction,Northwest,Road,POINT (-113.556951494442 53.581072344076)
35,"Dec 11, 2023","Dec 09, 2023","May 03, 2024",Current,Pavement marking weave,23 Avenue,109 Street,111 Street,Increased Travel Time,5 months,Ongoing utility work.  Pavement marking weave westbound.  Right turn bay closure at 111 Street for westbound to northbound traffic.  Pedestrian detour at 109 Street north west corner.,LRT Expansion Utility Work,Construction,Southwest,Road and Sidewalk,POINT (-113.516383494169 53.453913542385)
24,"Sep 19, 2023","Oct 02, 2023","Sep 19, 2024",Current,106st reduced to one lane SB,106 Street NW,Whitemud Drive NW,42 Avenue NW,Travel Delays,Long Term Drainage Project,Starts Oct 2nd @ 9am. 106st from Whitemud Dr to 42ave will be reduced to a single lane going southbound. Lane reduction to be full time and long term. Bike and vehicle traffic to share SB travel lane. Speed reduced accordingly. Expect travel delays.,Drainage Shaft,Construction,Southwest,Road,POINT (-113.504307618552 53.48134804511)
12,"Apr 27, 2023","May 15, 2023","May 31, 2024",Current,Parking Lane and Sidewalk Closed on NS Summit Dr,Summit Drive,142 Street NW,98 Avenue NW,Travel Delays,1 Year,Summit Dr will be reduced to one lane in each direction. The sidewalk on the North side will be closed form 142 St to approx 30m East.,Drainage Tunnel Shaft,Construction,Northwest,Road and Sidewalk,POINT (-113.559738691084 53.536648072079)
197,"Apr 03, 2024","Apr 19, 2024","Apr 21, 2024",Current,"114 St, 83 Ave to 87 Ave split to Westside of road",114 Street NW,83 Avenue NW,87 Avenue NW,Travel Delays,3 Days,114 St will be split to the Westside of the road from 83 Ave until 87 Ave for construction on the Stollery.,Hospital Construction,Construction,Central,Road and Sidewalk,POINT (-113.525497658501 53.519353136176)
1,"Feb 15, 2023","Mar 07, 2023","May 31, 2024",Current,34 Av Lane Reduction,34 Avenue NW,111 Street NW,106 Street NW,Travel Delays,Long Term Project,"Starts Mon, March 7th at 9am. 34 Av, 111 St - 106 St will be reduced to a single lane each direction. The intersections of 111 ST and 106 St will be at full lane capacity.",Drainage Tunnel Shaft,Construction,Southwest,Road,POINT (-113.516328900539 53.465904582209)
38,"Dec 14, 2023","Dec 02, 2022","May 02, 2024",Current,Terwillegar Drive Stage 1B Project,Terwillegar Drive,Haddow Drive,23 Avenue,Increased Travel Time,5 Months,Speed reduction to 50 km/hr; Uneven pavement at intersections.,Road Construction,Construction,Southwest,Road,POINT (-113.589848957234 53.45141598788)
30,"Oct 31, 2023","Oct 30, 2023","Aug 28, 2024",Current,106 st reduced to one lane per direction,106 Street NW,Whitemud Drive NW,47 Avenue NW,Travel Delays,Long Term Drainage Project,106st from Whitemud Dr to 47ave will be reduced to a single lane in both directions. Southbound left turning movement will be ban at 106st & 45ave intersection. Bike and vehicle traffic to share travel lanes. Speed reduced accordingly. Expect delays.,Drainage Shaft,Construction,Southwest,Road,POINT (-113.504349279716 53.484791480042)
3,"Jun 03, 2022","Apr 19, 2022","Apr 19, 2024",Current,87 Av Reduced to 1 Lane Each Way,87 Avenue NW,159 Street NW,182 Street NW,Travel Delays,2 Years,87 Av will be reduced to 1 lane in each direction in various phases from 159 St to 189 St. Use other routes.,LRT Construction,Construction,Northwest,Road,POINT (-113.637149749965 53.521606230676)
198,"Apr 03, 2024","Apr 03, 2024","Apr 09, 2024",Current,Reduced to 2 lanes southbound,111 Street,29A Avenue,23 Avenue,Increased Travel Time,1 week,111 Street centre lane is closed from 350m south of 29A Avenue to 500m south of 29A Avenue for EPCOR Drainage repair.,EPCOR Drainage Repair,Construction,Central,Road,POINT (-113.516120783317 53.461179985982)
198,"Apr 03, 2024","Apr 03, 2024","Apr 09, 2024",Current,Reduced to 2 lanes southbound,111 Street,29A Avenue,23 Avenue,Increased Travel Time,1 week,111 Street centre lane is closed from 350m south of 29A Avenue to 500m south of 29A Avenue for EPCOR Drainage repair.,EPCOR Drainage Repair,Construction,Central,Road,POINT (-113.516383494169 53.453913542385)
162,"Apr 08, 2024","Apr 30, 2024","Jul 26, 2024",Revised,Flood Mitigation Line 5,91 Avenue NW,58 Street NW,52 Street NW,Total Closure,87 Days,Total Closure stages at West half of the road segment and East half of the road segment.,Installing a new storm line,Construction,Southeast,Road,POINT (-113.423800570456 53.525872252329)
163,"Apr 08, 2024","Apr 22, 2024","May 23, 2024",Revised,Flood Mitigation Line 5,90a Avenue NW,58 Street NW,60 Street NW,Total Closure,31 Days,Total Closure at East half of the road segment.,Installing a new storm line,Construction,Southeast,Road,POINT (-113.424147279271 53.524615171939)
218,"Apr 08, 2024","Apr 13, 2024","Apr 15, 2024",Revised,Ramp Closure,St Albert Trail NW,Yellowhead Trail NW,,Total Closure,2 Days (Sat 5 am to Mon 5 am),"The St Albert Trail to Yellowhead Tr WB ramp will be closed from Sat, April 13th at 5 am to Mon, April 15th at 5 am. Detour using 128 Av to 149 St or 156 St.",YHT Freeway Conversion,Construction,Northwest,Road,POINT (-113.556951494442 53.581072344076)
199,"Apr 03, 2024","Apr 15, 2024","Apr 18, 2024",Current,"Total Closure of Groat Rd, 111 Ave - RVR",Groat Road NW,111 Avenue NW,River Valley Road NW,Total Closure,3 Nights,"On the nights of April 15th - 17th, 9PM - 6AM, Groat Rd will be closed from 111 Ave to River Valley Rd due to the 2024 Spring Sweep.",2024 Spring Sweep,Construction,Northwest,Road,POINT (-113.537101875648 53.53814512582)
199,"Apr 03, 2024","Apr 15, 2024","Apr 18, 2024",Current,"Total Closure of Groat Rd, 111 Ave - RVR",Groat Road NW,111 Avenue NW,River Valley Road NW,Total Closure,3 Nights,"On the nights of April 15th - 17th, 9PM - 6AM, Groat Rd will be closed from 111 Ave to River Valley Rd due to the 2024 Spring Sweep.",2024 Spring Sweep,Construction,Northwest,Road,POINT (-113.551412753269 53.558904031668)
201,"Apr 04, 2024","Apr 13, 2024","Aug 31, 2024",Current,Yellowhead Trail Lane Reductions,Yellowhead Trail NW,156 Street NW,St Albert Trail NW,Travel Delays,4.5 Months,"Starts April 13th, 2024. Yellowhead Tr will be reduced to 2 lanes each direction. The speed will be reduced to 50km/h.",YHT Conversion Project,Construction,Northwest,Road,POINT (-113.556951494442 53.581072344076)
201,"Apr 04, 2024","Apr 13, 2024","Aug 31, 2024",Current,Yellowhead Trail Lane Reductions,Yellowhead Trail NW,156 Street NW,St Albert Trail NW,Travel Delays,4.5 Months,"Starts April 13th, 2024. Yellowhead Tr will be reduced to 2 lanes each direction. The speed will be reduced to 50km/h.",YHT Conversion Project,Construction,Northwest,Road,POINT (-113.590610497653 53.578402392784)
222,"Apr 09, 2024","Apr 10, 2024","Apr 12, 2024",Revised,87 Av Reduced to 1 Lane Each Way,87 Avenue NW,155 Street NW,156 Street NW,Travel Delays,3 Days,"87 Av will be reduced to 1 lane both ways starting at 9am on Wednesday, April 10 until 3pm on Friday, April 12. WB to SB left turn will be banned. The crosswalk N&S bound on the ES of 156 St will be closed.",Emergency Drainage Repairs,Construction,Northwest,Road and Sidewalk,POINT (-113.590332225448 53.519453481099)
203,"Apr 04, 2024","Apr 04, 2024","Apr 19, 2024",Current,99 Av Closure,99 Avenue NW,156 Street NW,157 Street NW,Total Closure,2 Weeks,99 Av Closure from 156 St to the lane west of 156 St. For more info visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Northwest,Road,POINT (-113.590313682446 53.537606920343)
202,"Apr 04, 2024","Apr 15, 2024","Jun 10, 2024",Current,Scona Bridge Rehabilitation,Scona Road NW,95A Avenue NW,Connors Road NW,Increased Travel Time,Two + Months,"Scona Road NW northbound, 95A AV - Connors RD will be reduced to a single lane. Keep left or use alternate routes.",Bridge Rehabilitation,Construction,Central,Road,POINT (-113.485084583236 53.532963984479)
